영업상태명,지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,서울특별시 용산구 용산동6가 69번지 167호,신동아 쇼핑센터,쇼핑센터,198622.8926,446114.1552
영업/정상,서울특별시 용산구 한강로2가 15번지 19호,(주)농협유통하나로클럽용산점,대형마트,196813.2585,447881.9708
영업/정상,서울특별시 용산구 한강로2가 413호,전자타운,전문점,196775.6399,447984.6345
영업/정상,서울특별시 용산구 이태원동 56번지 9호,이태원시장,시장,199051.1588,447953.6017
영업/정상,서울특별시 용산구 한강로3가 2-8,(주)서부티엔디,전문점,196605.5116,447841.2701
폐업,,롯데마켓999 용산파크자이가맹점,구분없음,197514.1458,448264.3223
폐업,서울특별시 용산구 이촌동 300번지 27  호,한강상가,시장,197450.2776,446437.1979
폐업,서울특별시 용산구 한강로3가 40번지 969호,터미널전자상가,전문점,196610.6638,447742.3486
폐업,서울특별시 용산구 산천동 202호,삼성테마트,그 밖의 대규모점포,195547.1403,447976.7759
영업/정상,,파크에비뉴 엔터식스 한양대점,복합쇼핑몰,203523,450411
영업/정상,서울특별시 성동구 용답동 49번지 5호,성동용답상가시장,시장,204566.0464,451260.9331
영업/정상,서울특별시 용산구 한강로3가 40번지 999호,아이파크(I PARK)백화점,백화점,196762.0774,447480.0396
영업/정상,서울특별시 용산구 한강로2가 15번지 14호,선인상가,전문점,196839.6417,447863.232
영업/정상,서울특별시 용산구 용산동6가 69번지 167호,신동아쇼핑센터,쇼핑센터,198622.8926,446114.1552
영업/정상,서울특별시 성동구 왕십리2동 966번지 11호,홈플러스(주) 익스프레스 왕십리점,구분없음,202806.0185,451160.356
영업/정상,서울특별시 성동구 금호동3가 332번지,금남시장,시장,201939.2553,449589.2138
영업/정상,서울특별시 성동구 용답동 234번지 한국자동차매매센터,자동차매매센타,전문점,205784.8688,450883.524
영업/정상,서울특별시 성동구 옥수동 220번지 1호 한남하이츠아파트,한남하이츠상가,그 밖의 대규모점포,201181.599,448609.5881
영업/정상,서울특별시 성동구 행당동 347번지 행당동 대림아파트,대림리빙프라자,그 밖의 대규모점포,202326.503,450625.5842
영업/정상,서울특별시 성동구 행당동 346번지 행당 한진타운 종합상가,한진종합상가,그 밖의 대규모점포,202511.1429,450401.3037
영업/정상,서울특별시 성동구 성수동2가 289번지 4호,(주)인트램,그 밖의 대규모점포,204830.9773,449477.4485
영업/정상,서울특별시 성동구 마장동 510번지 3호 일대,마장축산물시장,시장,203323.7878,451940.2054
영업/정상,서울특별시 성동구 왕십리도선동 69번지,성동삼성쉐르빌상가,그 밖의 대규모점포,203017.0215,451346.2811
영업/정상,서울특별시 성동구 행당동 168번지 1호,(주)이마트 왕십리점,대형마트,203292.1519,451267.7309
영업/정상,서울특별시 성동구 행당동 168번지 151호 왕십리민자역사,ENTER-6,그 밖의 대규모점포,203321.5623,451001.8687
영업/정상,서울특별시 성동구 금호동3가 1331번지,홈플러스(주) 익프스레스 금호2점,구분없음,201383.0237,449744.2805
영업/정상,서울특별시 성동구 금호동1가 481번지 5호,홈플러스(주) 익스프레스 금호점,구분없음,201772.8071,450250.3664
영업/정상,서울특별시 성동구 성수1가1동 14번지 17호,홈플러스(주)익스프레스 뚝섬점,구분없음,204257.5849,449412.5441
영업/정상,서울특별시 성동구 행당동 155번지 1호 서울숲 더샵,노브랜드 엔터식스한양대점,구분없음,203477.9054,450542.4544
폐업,서울특별시 은평구 응암동 74번지 7 호,녹번시장,그 밖의 대규모점포,193792.9849,455370.6138
영업/정상,서울특별시 성동구 성수동1가 656-1208 성수만세주유소,홈플러스익스프레스 뚝섬2점,구분없음,203841.2255,449475.5401
폐업,서울특별시 성동구 성수1가1동 72번지 91호,홈플러스(주)익스프레스 성수점,구분없음,204271.5152,448744.2458
폐업,서울특별시 성동구 금호동1가 128번지 1호,금북시장,그 밖의 대규모점포,202004.4523,450411.4636
폐업,서울특별시 성동구 금호동4가 548번지 1호,금호종합시장,그 밖의 대규모점포,201924.2874,449505.4332
폐업,서울특별시 성동구 용답동 49번지 5호,용답동상가번영회,시장,204566.0464,451260.9331
취소/말소/만료/정지/중지,서울특별시 성동구 성수동2가 231번지 1호,성동마트,그 밖의 대규모점포,205260.8277,448399.9487
영업/정상,서울특별시 광진구 자양동 44번지 2호,노룬산시장,그 밖의 대규모점포,205663.0811,448250.3634
영업/정상,서울특별시 광진구 자양동 6번지 20호,조양시장,그 밖의 대규모점포,205886.289,448517.3386
영업/정상,서울특별시 광진구 중곡동 229번지 5호,중곡제일시장,그 밖의 대규모점포,207114.4989,451296.0494
영업/정상,서울특별시 광진구 군자동 503번지,파크에비뉴,그 밖의 대규모점포,206212.2443,449577.1749
영업/정상,서울특별시 광진구 중곡동 79번지 13호,신성종합시장,그 밖의 대규모점포,207747.894,450639.201
영업/정상,서울특별시 광진구 자양동 602호,자양종합시장,그 밖의 대규모점포,206686.3645,447752.4632
영업/정상,서울특별시 광진구 구의동 546번지 4호,테크노-마트21,그 밖의 대규모점포,208394.4164,448165.28
영업/정상,서울특별시 광진구 중곡2동 157번지 1호,홈플러스(주)익스프레스 중곡점,구분없음,207001.8723,450597.6149
영업/정상,서울특별시 광진구 중곡4동 93번지 2호,홈플러스익스프레스 중곡2점,구분없음,207778.1165,450250.2556
영업/정상,서울특별시 광진구 화양동 10번지 1호,(주)지에스리테일GS수퍼 광진화양점,구분없음,206107.7752,449029.3422
영업/정상,서울특별시 광진구 자양동 663번지 21  호,프라젠 스파,그 밖의 대규모점포,207368.6245,447632.296
영업/정상,서울특별시 광진구 자양동 227번지 7호,(주)이마트 자양점,대형마트,206349.675,448396.9397
영업/정상,서울특별시 광진구 자양동 17번지 1호,커먼그라운드,그 밖의 대규모점포,205758.8167,448768.1614
영업/정상,서울특별시 광진구 화양동 10번지 1호,한아름시장,그 밖의 대규모점포,206107.7752,449029.3422
영업/정상,서울특별시 광진구 중곡동 229번지 15호,광성시장,그 밖의 대규모점포,207098.9948,451260.4457
영업/정상,서울특별시 광진구 구의동 546번지 1호,동서울터미널상가,그 밖의 대규모점포,208201.9933,447967.2995
영업/정상,서울특별시 광진구 광장동 484호,현대종합상가,그 밖의 대규모점포,208644.8192,448711.7258
영업/정상,서울특별시 광진구 구의동 611호,구의현대종합상가,그 밖의 대규모점포,208403.7461,448490.2392
영업/정상,서울특별시 광진구 구의동 631번지 1호,프라임프라자상가,그 밖의 대규모점포,208558.2866,448353.9052
영업/정상,서울특별시 광진구 구의동 66-25,구의 자이르네 판매시설,그 밖의 대규모점포,207754.5752,449270.2315
폐업,서울특별시 광진구 구의동 66번지 28호,구의시장,그 밖의 대규모점포,207754.5752,449270.2315
폐업,서울특별시 광진구 군자동 361번지 6호,화양시장,그 밖의 대규모점포,,
폐업,서울특별시 광진구 광장동 145번지 8호,워커힐상가,그 밖의 대규모점포,209345.9418,449811.7182
영업/정상,서울특별시 동대문구 용두동 33번지 1호,홈플러스(주) 동대문점,대형마트,203356.9574,452469.3002
영업/정상,서울특별시 광진구 구의3동 212번지 2호,홈플러스익스프레스 구의2점,구분없음,208261.7488,448701.6585
영업/정상,서울특별시 동대문구 신설동 109번지 5호,서울풍물시장,그 밖의 대규모점포,202186.4681,452282.6074
영업/정상,서울특별시 동대문구 장안동 580번지,장안위더스빌,그 밖의 대규모점포,205423.9695,451556.2106
영업/정상,서울특별시 동대문구 이문동 292번지 10호,(주)이마트에브리데이 이문점,구분없음,205396.3637,455131.6832
영업/정상,서울특별시 동대문구 제기동 1140번지 5호,불로장생타워,전문점,203155.5049,452914.6075
영업/정상,서울특별시 동대문구 용두동 787번지 동의보감타워,건강백화점 동의보감,전문점,203258.3772,452834.0641
영업/정상,서울특별시 동대문구 이문1동 292번지 10호 (주)이문종합상가 이문동웰츠타워,대규모점포 개설등록,그 밖의 대규모점포,205396.3637,455131.6832
영업/정상,서울특별시 동대문구 장안동 108-5,전곡시장,시장,205987.3456,452845.2843
영업/정상,서울특별시 동대문구 휘경동 151-3,이경시장,시장,204881.3132,454280.0406
영업/정상,서울특별시 동대문구 이문동 292번지 10호,이문제일시장,시장,205396.3637,455131.6832
영업/정상,서울특별시 동대문구 제기동 892번지 71호,한솔동의보감,전문점,203075.0985,452918.8365
영업/정상,서울특별시 동대문구 장안동 368번지 1호,(주)형지쇼핑 아트몰링 장안점,그 밖의 대규모점포,206325.3494,452184.2102
영업/정상,서울특별시 동대문구 용두동 231-5,용두시장,시장,202538.0118,452901.1853
영업/정상,서울특별시 동대문구 제기동 650호,동서시장,시장,203597.8562,453055.9087
영업/정상,서울특별시 동대문구 청량리동 738번지,청량리현대코아,그 밖의 대규모점포,203851.3754,453238.5942
영업/정상,서울특별시 동대문구 전농동 647번지 1호,전농프라자,그 밖의 대규모점포,204082.1118,452472.9905
영업/정상,서울특별시 동대문구 전농동 295번지 52호,전농로타리시장,시장,204970.9016,452852.821
영업/정상,서울특별시 동대문구 답십리동 495-1,동부시장,시장,205006.0749,451814.3324
영업/정상,서울특별시 동대문구 이문동 292번지 10호,이문동웰츠타워,그 밖의 대규모점포,205396.3637,455131.6832
영업/정상,,홈플러스 익스프레스 서울회기점,구분없음,204605.3839,454565.9406
영업/정상,서울특별시 동대문구 신설동 109번지 5호,서울특별시장,그 밖의 대규모점포,202186.4681,452282.6074
영업/정상,서울특별시 동대문구 답십리1동 530번지 11호  외1필지 지층1호~13호,(주)이마트에브리데이 답십리점,구분없음,204638.4864,451699.7658
영업/정상,서울특별시 동대문구 장안동 580번지,노브랜드 동대문 장안점,대형마트,205423.9695,451556.2106
휴업,   호   ,기타대규모점포,그 밖의 대규모점포,,
폐업,서울특별시 동대문구 장안동 371번지 0001호,쉐르빌쇼핑타운,그 밖의 대규모점포,206101.9138,452155.6911
