지역,매장명,브랜드명
인천광역시 서구 율도로 45,인천신현중앙점,메가커피
경기도 안산시 단원구 예술대학로 20 (고잔동) 메가커피 ,안산중앙점,메가커피
인천광역시 남동구 매소홀로 1127 (서창동수팰리스)101호 ,서창1지구점,메가커피
경기도 안산시 단원구 와동공원로 150 ,안산와동점,메가커피
인천광역시 남동구 서창남순환로215번길 17 메가커피(인천서창점) ,인천서창점,메가커피
경기도 화성시 향남읍 행정중앙1로 4 . ,화성향남시범점,메가커피
경기도 안산시 단원구 와동로 56 ,안산열녀문점,메가커피
경기도 안산시 상록구 석호로 207 ,안산석호점,메가커피
인천광역시 서구 청라커낼로329번길 19-3 (경서동)1층 ,청라커낼점,메가커피
인천광역시 서구 중봉대로 586번길 9-4 ,청라홍익점,메가커피
인천광역시 서구 원창로 194 (신현동)1층104105호 ,인천신현점,메가커피
경기도 시흥시 새재로17번길 7 1층 103호(장현동) ,시흥시청점,메가커피
경기도 시흥시 장현능곡로 184 103호(능곡동능곡프라자) ,시흥능곡역점,메가커피
인천광역시 남동구 만수서로 62 (만수동) 메가커피 ,인천만수향촌점,메가커피
경기도 시흥시 능곡번영길 33 . ,시흥능곡중앙점,메가커피
경기도 화성시 향남읍 발안양감로 205 ,화성향남2지구점,메가커피
경기도 안산시 상록구 화랑로 508 ,안산성포점,메가커피
경기도 안산시 상록구 중보로 49 (이동) 메가커피 ,한대앞역점,메가커피
경기도 안산시 단원구 예술대학로 155 (고잔동) ,안산서울예대점,메가커피
인천광역시 서구 봉오재1로 49 메가커피(루원시티점) ,루원시티점,메가커피
인천광역시 부평구 경원대로 1246 1층(산곡동동심빌딩) ,백운현대점,메가커피
인천광역시 서구 청라에메랄드로 84 (청라동) 메가커피 ,인천좋은병원점,메가커피
인천광역시 서구 청라라임로122번길 2 (청라동) 메가커피 ,청라중점,메가커피
인천광역시 남동구 장수로 3-12,인천장수점,메가커피
인천광역시 서구 가정로 415,인천루원중앙점,메가커피
경기도 화성시 향남읍 발안로 116 메가커피 ,화성향남1지구점,메가커피
인천광역시 서구 가정동 606-1 메가커피 ,정지구점,메가커피
경기도 안산시 상록구 본오동 879-13 1층 ,안산본오점,메가커피
경기도 안산시 상록구 본오로 60 1층(본오동) ,안산반월공원점,메가커피
"인천광역시 부평구 마장로220번길 13 106(상가)동 107호(산곡동, 한신휴아파트) ",인천산곡한신휴점,메가커피
"경기도 안산시 상록구 예술광장로 19 (월피동, 현대쇼핑) . ",안산성포역점,메가커피
인천광역시 서구 가정동 619-1 메가커피 ,정역점,메가커피
인천광역시 부평구 원적로 296,부평산곡중앙점,메가커피
경기도 안산시 상록구 도매시장로 33 ,안산이동점,메가커피
"인천광역시 부평구 동수로 28 (부평동, 샬렛주상아파트) ",부평해링턴플레이스점,메가커피
경기도 안산시 상록구 반석로 65 . ,안산본오사거리점,메가커피
경기도 안산시 상록구 광덕산2로 19 1층 일부 ,안산월피점,메가커피
경기도 안산시 상록구 용신로 393 ,상록수역점,메가커피
인천광역시 부평구 마장로 310 101호 (산곡동 롯데프라자) ,인천산곡점,메가커피
인천광역시 부평구 경원대로 1366 (부평동) 메가커피 ,부평북부역점,메가커피
인천광역시 부평구 경원대로 1366 (부평동) 메가커피 ,부평오거리점,메가커피
인천광역시 부평구 육동로 20,부평남부역점,메가커피
경기도 안산시 상록구 각골로 64 ,안산본오중앙점,메가커피
인천광역시 부평구 광장로 16,부평역지하상가점,메가커피
경기도 안산시 상록구 도매시장로 91-1 1층(일동) ,안산식물원점,메가커피
경기도 시흥시 연성로 86,시흥하상점,메가커피
인천광역시 부평구 부영로189번길 51 123호(산곡동) ,산곡고점,메가커피
인천광역시 부평구 시장로 17 1층 ,부평로데오점,메가커피
경기도 안산시 상록구 안산대학로 101 (일동) 메가커피 ,안산일동점,메가커피
"인천광역시 부평구 마장로 385, 1층 ",인천청천점,메가커피
인천광역시 부평구 부평대로 42 101호(부평동) ,부평중앙점,메가커피
인천광역시 부평구 부평대로 67-2 (부평동) . ,부평시장역점,메가커피
인천광역시 부평구 청천동 234-3 메가커피 ,부평금호점,메가커피
인천광역시 부평구 부일로 11 . ,부평굴다리점,메가커피
인천광역시 부평구 장제로 99 . ,부평해물탕거리점,메가커피
경기도 시흥시 수인로3381번길 12,삼미시장점,메가커피
경기도 시흥시 신천로83번길 2 (신천동) 메가커피 ,시흥신천역점,메가커피
경기도 안산시 상록구 부곡로 121 1층 102호(부곡동) ,안산부곡점,메가커피
인천광역시 부평구 수변로 8 . ,부개역점,메가커피
인천광역시 부평구 길주로 505 505 ,부평경찰서점,메가커피
인천광역시 서구 탁옥로51번길 2 . ,인천서구청점,메가커피
인천광역시 부평구 부평대로 152 102호(부평동파리상뜨) ,부평구청역점,메가커피
"경기도 시흥시 시흥대로 1077, 1층 ",시흥신일초점,메가커피
인천광역시 부평구 마장로 489,청천아이즈빌점,메가커피
인천광역시 부평구 일신로14번길 24 (일신동) 메가커피 ,부평일신점,메가커피
인천광역시 부평구 부평문화로 186-1 . ,부평SK뷰해모로점,메가커피
인천광역시 부평구 길주남로 33 1층(부평동) ,부평신트리점,메가커피
인천광역시 부평구 장제로 171 (부평동) 메가커피 ,부평중점,메가커피
인천광역시 부평구 장제로 171 (부평동) 메가커피 ,부평보건소점,메가커피
인천광역시 부평구 수변로 58 1층(부개동) ,인천부개점,메가커피
인천광역시 서구 탁옥로 105 메인프라자3차107호 ,인천국제성모병원점,메가커피
인천광역시 서구 심곡로 ,인천공촌점,메가커피
인천광역시 서구 승학로 319,인천연희점,메가커피
인천광역시 부평구 부흥로 393 1층 일부호(부개동) ,부광초사거리점,메가커피
경기도 시흥시 복지로53번길 16 . ,시흥대야댓골점,메가커피
인천광역시 부평구 장제로 211,굴포천역점,메가커피
경기도 시흥시 비둘기공원7길 46 (대야동) 메가커피 ,시흥대야점,메가커피
경기도 시흥시 수인로3287번길 25-2 1층(은행동) ,시흥은행점,메가커피
인천광역시 부평구 갈월서로 46,인천부평공고점,메가커피
인천광역시 부평구 부평대로 283,갈산역점,메가커피
경기도 부천시 송내대로 32 (송내동) ,송내남부역점,메가커피
경기도 시흥시 복지로 96,시흥포도탑점,메가커피
경기도 시흥시 매화산단3길 1 (매화동) . ,시흥매화산단점,메가커피
인천광역시 부평구 길주로 639 (삼산동) 메가커피 ,인천삼산점,메가커피
인천광역시 계양구 안남로 499 1층 일부호(효성동) ,인천효성신사거리점,메가커피
인천광역시 서구 승학로 410,검암우체국점,메가커피
인천광역시 서구 도요지로 225 (검암동) 메가커피 ,인천서구경서점,메가커피
"경기도 부천시 상일로 94번길 35, 105, 106호 (상동, 현대프라자) ",송내로데오점,메가커피
경기도 시흥시 은행로155번길 16 (은행동) 메가커피 ,은행로데오점,메가커피
경기도 부천시 상일로122번길 38,부천송내법원점,메가커피
인천광역시 부평구 주부토로 251 1층 ,부평갈산점,메가커피
"인천광역시 부평구 부평대로 337 1-11호(청천동, 부평 제이타워3차지식산업센터) ",부평제이타워점,메가커피
인천광역시 계양구 안남로 548,인천효성점,메가커피
인천광역시 계양구 서운산단로3길 4 (서운동) 메가커피 ,인천서운산업단지점,메가커피
경기도 시흥시 은계로 353,시흥대야역점,메가커피
경기도 시흥시 은계번영길 7,시흥은계중앙점,메가커피
"인천광역시 계양구 새벌로 120 1층 107호(효성동,대산아파트) ",인천효성남초점,메가커피
인천광역시 서구 승학로 470 (검암동) 메가커피 ,검암점,메가커피
경기도 시흥시 목감남서로 9-27 (조남동) ,목감신도시점,메가커피
