지역,매장명,브랜드명
울산광역시 남구 화합로 194,울산삼산D/I점,엔제리너스
울산광역시 남구 삼산중로48번길 13,울산롯데후문점,엔제리너스
울산광역시 남구 삼산로 282 롯데호텔,롯데시네울산점,엔제리너스
부산광역시 부산진구 복지로 70 개금현대I아파트,부산개금점,엔제리너스
부산광역시 부산진구 가야대로 494 대도빌딩,부산개금대도빌딩점,엔제리너스
울산광역시 북구 명촌로 41 솟대,울산명촌,엔제리너스
부산광역시 부산진구 가야대로 772,롯데백부산식당가점,엔제리너스
부산광역시 부산진구 서면로 74 아이온시티빌딩,부산아이온시티점,엔제리너스
부산광역시 동래구 온천천로 361 대방빌딩,부산온천천점,엔제리너스
부산광역시 부산진구 서면로 40 청양빌딩,서면일번가점,엔제리너스
부산광역시 부산진구 중앙대로692번길 16 CGV대한,부산서면점,엔제리너스
"부산광역시 부산진구 양정로 62 동의의료원, 동의병원, 동의대학교한방병원",부산동의의료원점,엔제리너스
부산광역시 동구 중앙대로214번길 3-2,부산역광장2호점,엔제리너스
부산광역시 중구 비프광장로 36,부산극장점,엔제리너스
부산광역시 남구 수영로 46-1,부산문현점,엔제리너스
부산광역시 해운대구 재반로 116,부산재송점,엔제리너스
부산광역시 수영구 광안해변로 29-1,부산남천비치점,엔제리너스
부산광역시 기장군 차성동로 110 엔제리너스 기장점,부산기장점,엔제리너스
"부산광역시 해운대구 마린시티3로 51, 201호 ",해운대마린시티점,엔제리너스
부산광역시 영도구 동삼동 363-16,영도동삼점,엔제리너스
울산광역시 동구 상진길 111,울산방어진점,엔제리너스
부산광역시 해운대구 해운대로 875,해운대백병원점,엔제리너스
부산광역시 해운대구 송정해로  50 ,부산송정점,엔제리너스
부산광역시 기장군 기장읍 당사리 64 1F,롯데아울렛동부산1층점,엔제리너스
부산광역시 기장군 기장읍 당사리 64 3F,롯데아울렛동부산3층점,엔제리너스
제주특별자치도 제주시 삼봉로 12,롯데시네삼화점,엔제리너스
제주특별자치도 제주시 공항로 2,주공항2호점,엔제리너스
제주특별자치도 제주시 공항로 2,주공항T/O점,엔제리너스
제주특별자치도 제주시 공항로 ,주공항1층점,엔제리너스
제주특별자치도 제주시 서해안로 24,주이호테우해변로점,엔제리너스
제주특별자치도 제주시 연북로 514,주연북로점,엔제리너스
제주특별자치도 제주시 수목원길 65-6,한라수목원점,엔제리너스
제주특별자치도 서귀포시 남성중로 2-3,천지연폭포점,엔제리너스
